,promotion_last_5years,Work_accident,satisfaction_level,average_montly_hours,last_evaluation,number_project,department,department_id,time_spend_company,left
36,0,0,0.41,157,0.53,2,accounting,2,3,1
37,0,1,0.37,138,0.47,2,accounting,2,3,1
38,0,0,0.84,227,0.83,4,accounting,2,5,1
39,0,0,0.43,153,0.48,2,accounting,2,3,1
40,0,0,0.37,128,0.52,2,accounting,2,3,1
41,0,0,0.09,257,0.82,6,accounting,2,4,1
42,0,0,0.4,144,0.51,2,accounting,2,3,1
43,0,0,0.36,127,0.45,2,accounting,2,3,1
44,0,0,0.43,131,0.47,2,accounting,2,3,1
45,0,0,0.83,223,0.99,4,accounting,2,5,1
46,0,1,0.23,204,0.99,4,accounting,2,4,1
47,0,0,0.11,301,0.87,6,accounting,2,4,1
48,0,0,0.9,259,0.83,5,accounting,2,5,1
49,0,0,0.36,138,0.56,2,accounting,2,3,1
50,0,0,0.41,128,0.46,2,accounting,2,3,1
51,0,0,0.42,128,0.56,2,accounting,2,3,1
52,0,0,0.74,248,0.88,4,accounting,2,6,1
53,0,1,0.11,304,0.82,6,accounting,2,4,1
54,0,0,0.11,301,0.89,6,accounting,2,4,1
55,0,0,0.81,235,1.0,5,accounting,2,5,1
56,0,0,0.11,272,0.85,7,accounting,2,4,1
57,0,0,0.45,151,0.57,2,accounting,2,3,1
58,0,0,0.36,136,0.47,2,accounting,2,3,1
59,0,0,0.86,241,0.95,4,accounting,2,5,1
60,0,0,0.74,258,0.87,5,accounting,2,5,1
61,0,0,0.74,223,1.0,5,accounting,2,5,1
62,0,0,0.11,275,0.77,6,accounting,2,4,1
63,0,0,0.1,308,0.77,7,accounting,2,4,1
64,0,0,0.37,129,0.46,2,accounting,2,3,1
65,0,0,0.37,153,0.49,2,accounting,2,3,1
66,0,0,0.11,302,0.91,6,accounting,2,4,1
67,0,0,0.45,144,0.49,2,accounting,2,3,1
68,0,0,0.11,272,0.91,6,accounting,2,4,1
69,0,0,0.4,134,0.46,2,accounting,2,3,1
70,0,0,0.41,138,0.54,2,accounting,2,3,1
71,0,0,0.1,284,0.82,7,accounting,2,4,1
72,0,0,0.88,225,0.92,4,accounting,2,5,1
73,0,0,0.89,262,0.89,5,accounting,2,5,1
74,0,0,0.42,131,0.53,2,accounting,2,3,1
75,0,0,0.1,272,0.77,6,accounting,2,4,1
76,0,0,0.42,157,0.47,2,accounting,2,3,1
77,0,0,0.74,222,1.0,5,accounting,2,6,1
78,0,0,0.84,240,0.86,5,accounting,2,5,1
79,0,0,0.86,245,0.96,5,accounting,2,6,1
80,0,0,0.79,269,0.93,5,accounting,2,5,1
81,0,0,0.63,242,0.83,6,accounting,2,5,1
82,0,0,0.39,142,0.57,2,accounting,2,3,1
83,0,0,0.09,271,0.93,6,accounting,2,4,1
84,0,0,0.16,277,0.65,4,accounting,2,5,1
85,0,0,0.4,152,0.47,2,accounting,2,3,1
86,0,0,0.83,255,0.92,4,accounting,2,5,1
87,0,0,0.44,154,0.5,2,accounting,2,3,1
88,0,0,0.5,138,0.85,4,accounting,2,3,1
89,0,0,0.89,178,0.48,3,accounting,2,5,1
90,0,0,0.42,128,0.5,2,accounting,2,3,1
91,0,0,0.36,130,0.46,2,accounting,2,3,1
92,0,0,0.39,127,0.48,2,accounting,2,3,1
93,0,0,0.59,156,1.0,3,accounting,2,4,1
94,0,0,0.79,257,0.96,4,accounting,2,5,1
95,0,0,0.1,269,0.81,6,accounting,2,4,1
96,0,0,0.11,254,0.97,6,accounting,2,4,1
97,0,0,0.45,149,0.51,2,accounting,2,3,1
98,0,1,0.43,149,0.51,2,accounting,2,3,1
99,0,0,0.09,264,0.96,7,accounting,2,4,1
100,0,0,0.43,143,0.53,2,accounting,2,3,1
101,0,0,0.09,295,0.9,6,accounting,2,4,1
102,0,0,0.75,223,1.0,5,accounting,2,6,1
103,0,0,0.11,269,0.92,6,accounting,2,4,1
104,0,0,0.1,269,0.9,7,accounting,2,4,1
105,0,0,0.1,303,0.84,5,accounting,2,5,1
106,0,0,0.11,310,0.97,6,accounting,2,4,1
107,0,0,0.36,143,0.52,2,accounting,2,3,1
108,0,0,0.36,153,0.54,2,accounting,2,3,1
109,0,0,0.84,240,0.82,5,accounting,2,5,1
110,0,0,0.48,255,0.94,5,accounting,2,6,0
111,0,0,0.73,218,0.62,3,accounting,2,3,0
112,0,0,0.59,268,0.87,3,accounting,2,4,0
113,0,0,0.72,240,0.94,4,accounting,2,4,0
114,0,0,0.57,152,0.51,2,accounting,2,2,0
115,0,0,0.84,208,0.58,4,accounting,2,3,0
116,0,0,0.6,205,0.95,5,accounting,2,3,0
117,0,0,0.67,157,0.5,4,accounting,2,2,0
118,0,0,0.97,149,0.66,4,accounting,2,2,0
119,0,0,0.9,152,0.92,3,accounting,2,3,0
120,0,0,0.75,129,0.7,3,accounting,2,3,0
121,0,0,0.59,149,0.52,2,accounting,2,3,0
122,0,0,0.61,137,0.97,3,accounting,2,3,0
123,0,0,0.96,162,1.0,5,accounting,2,3,0
124,0,0,0.7,216,0.59,4,accounting,2,3,0
125,0,0,0.81,167,0.82,4,accounting,2,2,0
126,0,0,0.6,262,0.98,3,accounting,2,2,0
127,0,0,0.68,185,0.69,3,accounting,2,2,0
128,0,0,0.55,237,0.84,3,accounting,2,3,0
129,0,0,0.22,199,0.74,3,accounting,2,6,0
130,0,1,0.19,226,0.98,5,accounting,2,4,0
131,0,1,0.33,212,0.4,4,accounting,2,2,0
132,0,0,0.94,220,0.93,4,accounting,2,3,0
133,0,0,0.92,192,0.69,3,accounting,2,3,0
134,0,0,0.91,152,0.76,5,accounting,2,3,0
135,0,0,0.76,224,0.74,3,accounting,2,2,0
136,0,0,0.62,180,0.72,5,accounting,2,3,0
137,0,0,0.51,224,0.92,3,accounting,2,3,0
138,0,0,0.52,169,0.38,6,accounting,2,3,0
139,0,0,0.18,285,0.67,5,accounting,2,5,0
140,0,0,0.94,254,0.91,5,accounting,2,3,0
141,0,0,0.76,189,0.64,3,accounting,2,3,0
142,0,0,0.84,117,0.51,2,accounting,2,4,0
143,0,1,0.91,243,0.61,4,accounting,2,2,0
144,0,0,0.82,202,0.62,4,accounting,2,2,0
145,0,0,0.68,168,0.7,5,accounting,2,2,0
146,0,1,0.3,276,0.86,3,accounting,2,5,0
147,0,1,0.64,174,0.59,3,accounting,2,3,0
148,0,0,0.59,106,0.75,3,accounting,2,2,0
149,0,0,0.91,255,0.67,2,accounting,2,4,0
150,0,0,0.52,253,0.72,3,accounting,2,3,0
151,0,0,0.89,141,0.95,4,accounting,2,3,0
152,0,0,0.55,199,0.9,4,accounting,2,3,0
153,0,0,0.73,219,0.59,3,accounting,2,2,0
154,0,0,0.55,267,0.81,4,accounting,2,5,0
155,0,0,0.74,131,0.5,5,accounting,2,3,0
156,0,0,0.86,155,0.86,3,accounting,2,4,0
157,0,1,0.3,280,0.7,5,accounting,2,4,0
158,0,0,0.32,249,0.81,2,accounting,2,3,0
159,0,0,0.93,219,0.86,4,accounting,2,3,0
160,0,0,0.42,208,0.73,4,accounting,2,5,0
161,0,0,0.75,270,0.58,4,accounting,2,3,0
162,0,0,0.84,153,0.85,3,accounting,2,4,0
163,0,0,0.95,174,0.79,4,accounting,2,3,0
164,0,0,0.6,209,0.61,4,accounting,2,3,0
165,0,0,0.48,144,0.54,2,accounting,2,3,0
166,0,1,0.38,128,0.81,5,accounting,2,3,0
167,0,0,0.46,213,0.49,3,accounting,2,3,0
168,0,1,0.34,152,0.57,4,accounting,2,3,0
169,0,0,0.5,148,0.73,3,accounting,2,3,0
170,0,0,0.63,174,0.64,3,accounting,2,2,0
171,0,0,0.91,240,0.63,4,accounting,2,3,0
172,0,1,0.54,123,0.5,2,accounting,2,4,0
173,0,0,0.95,155,0.98,5,accounting,2,3,0
174,0,0,0.84,140,0.79,6,accounting,2,2,0
175,0,0,0.84,226,0.74,4,accounting,2,2,0
176,0,0,0.17,183,0.93,5,accounting,2,5,0
177,0,0,0.85,181,0.53,4,accounting,2,2,0
178,0,0,0.74,145,0.46,6,accounting,2,3,0
179,0,1,0.82,230,0.75,3,accounting,2,4,0
180,0,0,0.82,210,0.65,4,accounting,2,2,0
181,0,0,0.52,232,0.63,4,accounting,2,3,0
182,0,0,0.56,134,0.73,4,accounting,2,3,0
183,0,1,0.89,235,0.7,4,accounting,2,2,0
184,0,0,1.0,238,0.66,4,accounting,2,4,0
185,0,0,0.15,159,0.36,5,accounting,2,2,0
186,0,0,0.87,209,0.74,3,accounting,2,3,0
187,0,0,0.79,136,0.61,4,accounting,2,3,0
188,0,0,0.54,223,0.84,4,accounting,2,3,0
189,0,0,0.52,214,0.92,3,accounting,2,3,0
190,0,0,0.54,148,0.72,3,accounting,2,4,0
191,0,0,0.54,270,0.77,5,accounting,2,3,0
192,0,0,0.87,176,0.62,3,accounting,2,3,0
193,0,1,0.72,144,0.76,4,accounting,2,3,0
194,0,1,0.91,218,0.68,3,accounting,2,3,0
195,0,0,0.75,102,1.0,3,accounting,2,3,0
196,0,0,0.7,181,0.67,4,accounting,2,3,0
197,0,0,0.55,248,0.82,3,accounting,2,2,0
198,0,0,0.77,201,0.76,3,accounting,2,4,0
199,0,1,0.79,160,0.93,5,accounting,2,4,0
200,0,0,0.97,173,0.5,3,accounting,2,2,0
201,0,0,0.59,243,0.63,5,accounting,2,2,0
202,0,0,0.44,253,0.74,5,accounting,2,2,0
203,0,0,0.92,155,0.85,3,accounting,2,2,0
204,0,0,0.54,232,0.8,3,accounting,2,2,0
205,0,0,0.7,177,0.87,5,accounting,2,2,0
206,0,0,0.44,248,0.81,3,accounting,2,2,0
207,0,0,0.26,168,0.69,2,accounting,2,5,0
208,0,0,0.75,162,0.57,5,accounting,2,3,0
209,0,0,0.67,241,0.95,4,accounting,2,4,0
210,0,0,0.64,199,0.95,4,accounting,2,4,0
211,0,0,0.76,157,0.62,4,accounting,2,3,0
212,0,0,0.26,157,0.45,2,accounting,2,3,0
213,0,0,0.94,148,0.83,5,accounting,2,3,0
214,0,0,0.61,153,0.97,4,accounting,2,3,0
215,0,0,0.76,197,0.79,3,accounting,2,5,0
216,0,0,0.67,246,0.82,4,accounting,2,4,0
217,0,1,0.67,221,0.81,3,accounting,2,4,0
218,0,0,0.5,164,0.56,3,accounting,2,3,0
219,0,0,0.68,266,0.81,5,accounting,2,2,0
220,0,1,0.24,226,0.54,4,accounting,2,4,0
221,0,1,0.61,199,0.97,3,accounting,2,3,0
222,0,1,0.77,216,0.76,2,accounting,2,3,0
223,0,0,0.58,151,0.86,3,accounting,2,2,0
224,0,0,0.27,217,0.47,5,accounting,2,6,0
225,0,1,0.49,255,0.71,3,accounting,2,2,0
226,0,0,0.67,183,0.67,3,accounting,2,3,0
227,0,1,0.53,150,0.88,3,accounting,2,3,0
228,0,0,0.74,132,0.94,3,accounting,2,3,0
229,0,0,0.95,193,0.58,3,accounting,2,2,0
230,0,0,0.5,165,0.54,4,accounting,2,3,0
231,0,0,0.95,253,0.75,3,accounting,2,4,0
232,0,0,0.77,254,0.64,3,accounting,2,3,0
233,0,0,0.84,140,0.58,3,accounting,2,3,0
234,0,0,0.61,254,0.68,3,accounting,2,2,0
235,0,0,0.6,170,0.61,4,accounting,2,3,0
236,0,0,0.57,206,0.64,2,accounting,2,3,0
237,0,0,0.51,272,0.58,4,accounting,2,3,0
238,0,0,0.63,228,0.56,4,accounting,2,3,0
239,0,0,0.6,221,0.84,2,accounting,2,3,0
240,0,0,0.66,263,0.97,3,accounting,2,3,0
241,1,0,0.74,135,0.7,5,accounting,2,2,0
242,0,0,0.89,160,0.9,4,accounting,2,2,0
243,0,0,0.83,262,0.61,4,accounting,2,4,0
244,0,0,0.7,225,0.84,6,accounting,2,6,0
245,0,0,0.91,211,0.51,2,accounting,2,2,0
246,0,0,0.88,266,0.84,3,accounting,2,3,0
247,0,0,0.98,138,0.79,4,accounting,2,3,0
248,0,0,0.89,220,0.98,3,accounting,2,3,0
249,0,0,0.68,135,0.67,4,accounting,2,2,0
250,0,0,0.65,247,0.84,4,accounting,2,4,0
251,0,1,0.23,212,0.66,4,accounting,2,4,0
252,0,0,0.62,256,0.77,4,accounting,2,3,0
253,1,0,0.97,167,0.61,4,accounting,2,3,0
254,0,1,0.7,253,0.55,3,accounting,2,2,0
255,0,1,0.6,177,0.55,3,accounting,2,3,0
256,0,0,0.84,215,0.83,3,accounting,2,3,0
257,0,0,0.78,264,0.87,4,accounting,2,3,0
258,0,0,0.5,156,0.84,3,accounting,2,4,0
259,0,0,0.17,259,0.82,6,accounting,2,4,0
260,0,0,0.46,165,0.38,6,accounting,2,3,0
261,0,0,0.73,174,0.63,4,accounting,2,3,0
262,0,0,0.66,264,0.63,5,accounting,2,5,0
263,0,0,0.9,237,0.72,5,accounting,2,2,0
264,0,0,0.74,141,0.53,5,accounting,2,2,0
265,0,0,0.89,196,0.55,4,accounting,2,2,0
266,0,0,0.5,166,0.7,5,accounting,2,2,0
267,0,0,0.69,158,0.97,3,accounting,2,2,0
268,0,0,0.81,151,0.68,3,accounting,2,3,0
269,1,0,0.91,192,0.74,5,accounting,2,3,0
270,0,1,0.45,181,0.53,3,accounting,2,4,0
271,0,0,0.97,193,0.66,4,accounting,2,4,0
272,0,0,0.5,163,0.48,3,accounting,2,4,0
273,0,0,0.74,150,0.81,4,accounting,2,2,0
274,0,0,0.41,155,0.9,6,accounting,2,2,0
275,0,0,0.98,185,0.73,5,accounting,2,3,0
276,0,0,0.5,275,0.88,4,accounting,2,5,0
277,0,0,0.21,141,0.74,5,accounting,2,4,0
278,0,0,0.45,133,0.64,5,accounting,2,4,0
279,0,1,0.87,267,0.5,4,accounting,2,2,0
280,0,0,0.98,263,0.64,3,accounting,2,4,0
281,0,0,0.28,202,0.79,5,accounting,2,5,0
282,0,0,0.53,163,0.59,3,accounting,2,4,0
283,0,0,0.35,268,0.59,5,accounting,2,3,0
284,0,0,0.73,244,0.66,3,accounting,2,3,0
285,0,0,0.5,272,0.74,4,accounting,2,5,0
286,0,0,0.64,221,0.61,3,accounting,2,3,0
287,0,1,0.83,246,0.57,2,accounting,2,5,0
288,0,0,0.55,145,0.6,3,accounting,2,4,0
289,0,0,0.97,246,0.91,3,accounting,2,2,0
290,0,0,0.5,179,0.75,5,accounting,2,3,0
291,0,0,0.99,195,0.99,4,accounting,2,2,0
292,0,0,0.54,265,0.51,3,accounting,2,3,0
293,0,0,0.97,251,1.0,5,accounting,2,2,0
294,1,1,0.64,171,0.38,5,accounting,2,6,0
295,1,0,0.24,232,0.5,4,accounting,2,3,0
296,1,0,0.84,172,0.78,5,accounting,2,2,0
297,0,0,0.67,225,0.69,5,accounting,2,3,0
298,0,1,0.63,215,0.79,5,accounting,2,2,0
299,0,0,0.68,156,0.53,3,accounting,2,4,0
300,0,1,0.52,146,0.49,3,accounting,2,2,0
301,0,0,0.15,255,0.76,4,accounting,2,6,0
302,0,0,0.2,181,0.56,5,accounting,2,6,0
303,0,1,0.55,120,0.43,3,accounting,2,6,0
304,0,0,0.21,229,0.53,3,accounting,2,5,0
305,0,0,0.73,232,0.45,5,accounting,2,4,0
306,0,0,0.78,177,0.57,3,accounting,2,3,0
307,0,1,0.44,268,0.92,6,accounting,2,4,0
308,0,0,0.18,267,0.86,5,accounting,2,4,0
309,0,0,0.84,243,0.85,3,accounting,2,2,0
310,0,0,0.34,257,0.81,3,accounting,2,5,0
311,0,0,0.28,260,0.46,4,accounting,2,2,0
312,0,0,0.7,145,0.79,6,accounting,2,3,0
313,0,0,0.76,204,0.89,5,accounting,2,3,0
314,0,0,0.7,263,0.96,3,accounting,2,3,0
315,0,0,0.84,178,0.9,3,accounting,2,2,0
316,0,0,0.35,109,0.57,3,accounting,2,3,0
317,0,1,0.74,221,0.86,4,accounting,2,2,0
318,0,0,0.17,274,0.73,4,accounting,2,3,0
319,0,0,0.84,261,0.61,4,accounting,2,2,0
320,0,1,0.96,158,0.59,3,accounting,2,3,0
321,0,0,0.65,168,0.96,3,accounting,2,2,0
322,0,0,0.58,171,0.58,5,accounting,2,2,0
323,0,0,0.7,185,0.93,3,accounting,2,4,0
324,0,0,0.48,152,0.51,4,accounting,2,4,0
325,0,0,0.62,141,0.79,3,accounting,2,3,0
326,0,0,0.65,196,0.79,4,accounting,2,2,0
327,0,0,0.68,144,0.83,3,accounting,2,2,0
328,0,0,0.52,247,0.72,2,accounting,2,4,0
329,0,0,0.93,206,0.7,5,accounting,2,4,0
330,0,1,0.98,183,0.96,5,accounting,2,3,0
331,0,0,0.57,221,0.72,4,accounting,2,3,0
332,0,0,0.72,167,0.66,3,accounting,2,3,0
333,0,0,0.19,198,0.86,4,accounting,2,6,0
334,0,0,0.4,115,0.67,3,accounting,2,3,0
335,0,1,0.82,267,0.62,4,accounting,2,3,0
336,0,0,0.81,149,0.88,4,accounting,2,3,0
337,0,0,0.49,264,0.78,3,accounting,2,4,0
338,0,0,0.61,266,0.53,4,accounting,2,3,0
339,0,0,0.99,222,0.77,5,accounting,2,2,0
340,0,0,0.73,283,0.54,3,accounting,2,6,0
341,0,0,0.23,140,0.77,4,accounting,2,5,0
342,0,0,0.83,262,0.76,3,accounting,2,2,0
343,0,0,0.18,251,0.92,5,accounting,2,4,0
344,0,0,0.14,117,0.74,4,accounting,2,5,0
345,0,0,0.53,174,0.73,5,accounting,2,3,0
346,0,0,0.71,158,0.88,3,accounting,2,3,0
347,0,0,0.32,167,0.37,3,accounting,2,3,0
348,0,0,0.69,274,0.67,4,accounting,2,4,0
349,0,0,0.88,201,0.89,2,accounting,2,3,0
350,0,0,0.66,207,0.76,3,accounting,2,2,0
351,0,1,0.8,242,0.91,5,accounting,2,3,0
352,0,0,0.82,225,0.52,5,accounting,2,2,0
353,0,0,0.98,140,0.38,4,accounting,2,6,0
354,0,0,0.56,160,0.92,5,accounting,2,3,0
355,0,0,0.36,130,0.63,3,accounting,2,5,0
356,0,0,0.56,230,0.85,5,accounting,2,3,0
357,0,0,0.66,200,0.75,4,accounting,2,4,0
358,0,1,0.83,259,0.74,3,accounting,2,3,0
359,0,0,0.73,227,0.87,3,accounting,2,4,0
360,0,0,0.85,104,0.97,4,accounting,2,5,0
361,0,0,0.58,180,0.77,3,accounting,2,2,0
362,0,1,0.71,193,0.77,3,accounting,2,3,0
363,0,0,0.6,182,0.63,3,accounting,2,3,0
364,0,0,0.5,135,0.61,4,accounting,2,3,0
365,0,0,0.66,112,0.86,4,accounting,2,6,0
366,0,0,0.36,160,0.4,3,accounting,2,3,0
367,0,1,0.86,166,1.0,3,accounting,2,3,0
368,0,0,0.79,222,0.74,4,accounting,2,2,0
369,0,0,0.87,149,0.57,3,accounting,2,2,0
370,0,1,0.8,203,0.84,3,accounting,2,3,0
371,0,1,0.64,192,0.64,3,accounting,2,3,0
372,0,0,0.81,159,0.86,5,accounting,2,2,0
373,0,0,0.93,145,1.0,4,accounting,2,3,0
374,0,0,0.54,181,0.75,3,accounting,2,3,0
375,0,1,0.73,172,0.63,3,accounting,2,4,0
376,0,0,0.59,139,0.41,4,accounting,2,3,0
377,0,0,0.66,194,0.49,4,accounting,2,5,0
378,0,1,0.71,208,0.99,5,accounting,2,2,0
379,0,0,0.98,202,0.74,4,accounting,2,3,0
380,0,0,0.83,134,0.82,3,accounting,2,3,0
381,0,0,0.97,242,0.97,4,accounting,2,2,0
382,0,0,0.59,258,0.97,3,accounting,2,2,0
383,0,0,0.13,209,0.65,2,accounting,2,5,0
384,0,0,0.68,215,0.74,4,accounting,2,3,0
385,0,1,0.73,241,0.91,4,accounting,2,2,0
386,0,0,0.61,157,0.82,3,accounting,2,2,0
387,0,0,0.91,146,0.98,4,accounting,2,3,0
388,0,0,0.5,262,0.94,3,accounting,2,4,0
389,0,0,0.4,252,0.65,4,accounting,2,6,0
390,0,0,0.52,225,0.56,3,accounting,2,3,0
391,0,1,0.77,236,0.56,3,accounting,2,3,0
392,0,0,0.98,203,0.62,3,accounting,2,2,0
393,0,0,0.92,164,0.84,3,accounting,2,2,0
394,0,0,1.0,141,0.97,5,accounting,2,2,0
395,0,0,0.2,251,0.8,6,accounting,2,5,0
396,0,0,0.57,141,0.62,5,accounting,2,3,0
397,0,0,0.61,134,0.72,4,accounting,2,2,0
398,0,1,0.76,193,0.81,4,accounting,2,3,0
399,0,1,0.39,152,0.58,3,accounting,2,3,0
400,0,0,0.96,228,0.72,4,accounting,2,2,0
401,0,1,0.8,172,0.65,4,accounting,2,3,0
402,0,0,0.51,269,0.98,4,accounting,2,3,0
403,0,0,0.74,285,0.9,3,accounting,2,3,0
404,0,0,0.81,241,0.87,5,accounting,2,3,0
405,0,0,0.75,185,0.9,4,accounting,2,3,0
406,0,0,0.99,218,0.64,4,accounting,2,4,0
407,0,0,0.96,268,0.86,4,accounting,2,3,0
408,0,0,0.82,257,0.92,3,accounting,2,2,0
409,0,0,0.66,256,0.78,4,accounting,2,3,0
410,0,0,0.82,168,0.65,4,accounting,2,3,0
411,0,1,0.26,180,0.69,4,accounting,2,3,0
412,0,0,0.78,177,0.53,4,accounting,2,2,0
413,0,0,0.65,192,0.81,4,accounting,2,3,0
414,0,0,0.89,133,0.76,4,accounting,2,2,0
415,0,0,0.69,201,0.75,5,accounting,2,3,0
416,0,0,0.18,160,0.99,4,accounting,2,5,0
417,0,0,0.68,205,1.0,3,accounting,2,4,0
418,0,1,0.45,97,0.79,5,accounting,2,6,0
419,0,0,0.64,265,0.85,4,accounting,2,2,0
420,0,0,0.94,260,0.48,4,accounting,2,4,0
421,0,0,0.49,175,0.63,3,accounting,2,2,0
422,0,0,0.91,255,0.61,3,accounting,2,3,0
423,0,0,0.9,137,0.66,5,accounting,2,2,0
424,0,0,0.74,193,0.99,4,accounting,2,3,0
425,0,0,0.83,242,0.64,3,accounting,2,3,0
426,0,0,0.36,186,0.8,5,accounting,2,4,0
427,0,0,0.82,155,0.59,3,accounting,2,3,0
428,0,0,0.49,266,0.42,2,accounting,2,3,0
429,0,0,0.93,210,0.9,5,accounting,2,3,0
430,0,0,0.49,168,0.7,4,accounting,2,3,0
431,0,0,0.18,154,0.64,6,accounting,2,5,0
432,0,0,0.76,135,0.85,4,accounting,2,3,0
433,0,0,0.51,149,0.96,3,accounting,2,4,0
434,0,1,0.56,251,0.98,3,accounting,2,3,0
435,0,0,0.5,165,0.73,5,accounting,2,2,0
436,0,1,0.51,223,0.53,3,accounting,2,2,0
437,0,0,0.61,225,0.7,3,accounting,2,3,0
438,0,1,0.69,263,0.8,5,accounting,2,3,0
439,0,0,0.99,174,0.92,5,accounting,2,5,0
440,0,1,0.92,246,0.76,5,accounting,2,2,0
441,0,0,0.39,261,0.86,3,accounting,2,2,0
442,0,0,0.75,188,0.55,2,accounting,2,3,0
443,0,0,0.89,203,0.88,3,accounting,2,3,0
444,0,1,0.6,168,0.76,5,accounting,2,2,0
445,0,0,0.71,177,0.72,4,accounting,2,3,0
446,0,0,0.6,174,0.74,4,accounting,2,3,0
447,0,1,0.86,162,0.92,3,accounting,2,3,0
448,0,0,0.55,192,0.51,3,accounting,2,3,0
449,0,0,0.9,139,0.5,4,accounting,2,2,0
450,0,1,0.48,277,0.45,3,accounting,2,2,0
451,0,0,0.76,265,1.0,5,accounting,2,2,0
452,0,0,0.61,269,0.62,4,accounting,2,4,0
453,0,0,0.2,149,0.54,4,accounting,2,3,0
454,0,0,0.82,191,0.95,6,accounting,2,6,0
455,0,0,0.59,250,0.56,4,accounting,2,2,0
456,0,0,0.84,199,0.95,5,accounting,2,3,0
457,0,1,0.84,230,0.73,5,accounting,2,4,0
458,0,0,0.12,110,0.42,3,accounting,2,2,0
459,0,0,0.71,208,0.6,4,accounting,2,3,0
460,0,0,0.32,157,0.69,5,accounting,2,4,0
461,0,0,0.49,230,0.99,6,accounting,2,4,0
462,0,1,0.72,154,0.87,4,accounting,2,2,0
463,0,0,0.68,147,0.61,4,accounting,2,3,0
464,0,0,0.51,148,0.72,3,accounting,2,2,0
465,0,0,0.83,240,0.78,5,accounting,2,3,0
466,0,0,0.31,177,1.0,4,accounting,2,5,0
467,0,0,0.49,181,0.68,3,accounting,2,3,0
468,0,0,0.33,280,0.95,4,accounting,2,3,0
469,0,1,0.6,265,0.7,4,accounting,2,4,0
470,0,0,0.25,228,0.45,3,accounting,2,5,0
471,0,1,0.93,209,0.99,4,accounting,2,3,0
472,0,0,0.5,173,0.54,5,accounting,2,2,0
473,0,1,0.74,183,0.88,5,accounting,2,3,0
474,0,0,0.8,265,0.9,5,accounting,2,3,0
475,0,1,0.32,224,0.67,5,accounting,2,4,0
476,0,0,0.77,167,0.56,3,accounting,2,4,0
477,0,1,0.57,159,0.54,3,accounting,2,3,0
478,0,0,0.59,247,0.8,5,accounting,2,3,0
479,0,0,0.65,191,0.54,4,accounting,2,4,0
480,0,0,0.82,280,0.37,2,accounting,2,3,0
481,0,0,0.74,197,0.96,4,accounting,2,3,0
482,0,0,0.72,231,0.64,3,accounting,2,2,0
483,0,0,0.7,224,0.74,3,accounting,2,3,0
484,0,0,0.86,229,0.92,4,accounting,2,4,0
485,0,0,0.23,149,0.94,4,accounting,2,6,0
486,0,0,0.74,148,0.67,4,accounting,2,3,0
487,0,0,0.9,211,0.55,4,accounting,2,3,0
488,0,0,0.67,246,0.55,3,accounting,2,3,0
489,0,0,0.77,256,0.53,5,accounting,2,3,0
490,0,0,0.85,226,0.53,3,accounting,2,2,0
491,0,1,0.41,151,0.7,2,accounting,2,3,0
492,0,0,0.51,224,0.84,4,accounting,2,2,0
493,0,0,0.59,266,0.75,4,accounting,2,3,0
494,0,0,0.71,222,0.89,3,accounting,2,3,0
